21/10/2015;Saying that today is gloomy is a fallacy and subject to ambiguity.;Kenneth
;Sometimes in life it's not about winning.;Max
22/10/2015;I played with fire and I burnt myself.;Kenneth
;The search for meaning can give meaning even when there is no meaning to be found.;Max
23/10/2015;We're not in control, daemons are. We could try to  make a difference but that's bullshit. Intentions are irrelevant. They don't drive us. Daemons do.;Kenneth
;Today feels good with a pinch of salt. These diagrams are full of holes and incoherent.;Max
24/10/2015;;
25/10/2015;;
